Time(sec)	Acceleration (g)	Speed	Position	Scaled position
9.1400	-0.0058780	0.0055345	0.0035579	11.858
9.1600	0.0067370	0.0055430	0.0036687	12.228
9.1800	0.0080480	0.0056909	0.0037810	12.602
9.2000	-0.0027920	0.0057435	0.0038954	12.983
9.2200	-0.015105	0.0055645	0.0040084	13.360
9.2400	-0.010820	0.0053052	0.0041171	13.722
9.2600	0.0058430	0.0052555	0.0042228	14.075
9.2800	0.010217	0.0054161	0.0043295	14.430
9.3000	0.0062430	0.0055807	0.0044394	14.797
9.3200	0.0084390	0.0057275	0.0045525	15.173
9.3400	0.032510	0.0061370	0.0046712	15.569
9.3600	0.061825	0.0070803	0.0048033	16.009
9.3800	0.068889	0.0083875	0.0049580	16.525
9.4000	0.051209	0.0095884	0.0051378	17.124
9.4200	0.014118	0.010242	0.0053361	17.785
9.4400	-0.029617	0.010087	0.0055394	18.463
9.4600	-0.053166	0.0092589	0.0057328	19.107
9.4800	-0.059219	0.0081351	0.0059068	19.687
9.5000	-0.058879	0.0069540	0.0060577	20.190
9.5200	-0.064646	0.0057188	0.0061844	20.613
9.5400	-0.050922	0.0045631	0.0062872	20.955
9.5600	0.011140	0.0041653	0.0063745	21.246
9.5800	0.065649	0.0049332	0.0064655	21.550
9.6000	0.081965	0.0064093	0.0065789	21.927
9.6200	0.085181	0.0080808	0.0067238	22.410
9.6400	0.068796	0.0096206	0.0069008	23.000
9.6600	0.035008	0.010659	0.0071036	23.676
9.6800	0.023045	0.011239	0.0073226	24.406
9.7000	0.026811	0.011738	0.0075524	25.172
9.7200	0.020330	0.012209	0.0077918	25.970
9.7400	-0.019203	0.012220	0.0080361	26.784
9.7600	-0.046058	0.011568	0.0082740	27.577
9.7800	-0.052371	0.010583	0.0084955	28.316
9.8000	-0.068475	0.0093750	0.0086951	28.981
9.8200	-0.088284	0.0078074	0.0088669	29.553
9.8400	-0.092486	0.0059997	0.0090050	30.014
9.8600	-0.075174	0.0043231	0.0091082	30.358
9.8800	-0.063590	0.0029355	0.0091808	30.600
9.9000	-0.063969	0.0016599	0.0092267	30.753
9.9200	-0.065592	0.00036426	0.0092470	30.820
9.9400	-0.062646	-0.00091809	0.0092415	30.802
9.9600	-0.061201	-0.0021566	0.0092107	30.699
9.9800	-0.042500	-0.0031936	0.0091572	30.521
10.000	-0.0065860	-0.0036844	0.0090884	30.292
10.020	0.0054650	-0.0036957	0.0090146	30.046
10.040	-0.0077780	-0.0037188	0.0089405	29.799
10.060	-0.023393	-0.0040305	0.0088630	29.540
10.080	-0.029722	-0.0045616	0.0087771	29.254
10.100	-0.041189	-0.0052708	0.0086787	28.926
10.120	-0.059269	-0.0062753	0.0085633	28.541
10.140	-0.070436	-0.0075724	0.0084248	28.080
10.160	-0.067070	-0.0089474	0.0082596	27.529
10.180	-0.037735	-0.0099955	0.0080702	26.898
10.200	-0.00010800	-0.010374	0.0078665	26.219
10.220	0.032501	-0.010050	0.0076622	25.538
10.240	0.061562	-0.0091094	0.0074706	24.900
10.260	0.079633	-0.0076974	0.0073026	24.340
10.280	0.082372	-0.0060774	0.0071648	23.880
